Frame No.,Latitude,Longitude
409,32.698173333,-117.165607667
928,32.700518833,-117.1684815
2232,32.705662,-117.175498667
3003,32.7088015,-117.179589333
18,32.702674167,-117.233118
18,32.702680833,-117.233113833
18,32.702689,-117.233108167
18,32.702694167,-117.2331035
18,32.702714833,-117.233081833
18,32.702721,-117.233074333
18,32.702725333,-117.2330655
149,32.702756833,-117.233025167
149,32.702763,-117.233019
149,32.702768,-117.2330145
149,32.702772833,-117.233010167
149,32.702779,-117.2330045
149,32.702795833,-117.232990333
149,32.702806167,-117.232983833
279,32.7028255,-117.232969667
279,32.702834333,-117.232963167
279,32.702858,-117.232947667
279,32.702868833,-117.232940833
279,32.702874333,-117.232937333
279,32.7028785,-117.232936
279,32.702882333,-117.232933667
279,32.702887833,-117.232930333
279,32.702896333,-117.2329235
409,32.702925333,-117.232907667
409,32.7029335,-117.232902333
409,32.702946333,-117.232895667
409,32.702953833,-117.232889333
409,32.702969,-117.232882333
409,32.702973,-117.232879833
409,32.702977,-117.232878167
409,32.702987,-117.232874
409,32.703002833,-117.232869167
538,32.703078167,-117.232841833
538,32.703084,-117.2328395
538,32.703099833,-117.2328355
668,32.703141167,-117.232819
668,32.7031525,-117.232813167
668,32.7031565,-117.232811333
668,32.7031865,-117.232796
668,32.7031935,-117.232791333
668,32.703199,-117.232787667
668,32.703204667,-117.232784167
799,32.703210167,-117.232780333
799,32.703219667,-117.2327725
799,32.703225167,-117.2327685
799,32.703247667,-117.232753167
799,32.7032555,-117.232747833
799,32.703266833,-117.232739833
799,32.703276667,-117.232734333
928,32.7033045,-117.232716167
928,32.703309833,-117.232712333
928,32.703315167,-117.232708333
928,32.703319,-117.232704333
928,32.703335167,-117.232692167
928,32.703343667,-117.232684667
928,32.703347167,-117.232681833
928,32.703358,-117.232670333
928,32.70338,-117.232648667
1058,32.703385167,-117.232644
1058,32.703398667,-117.232628833
1058,32.7034015,-117.232626667
1188,32.7034725,-117.232533667
1188,32.7034805,-117.2325225
1188,32.703486833,-117.232514333
1188,32.7035105,-117.232483167
1188,32.703515833,-117.232475833
1188,32.70352,-117.232469167
1318,32.703528667,-117.232455667
1318,32.703551333,-117.232424
1318,32.703557667,-117.232414
1318,32.703573333,-117.232392833
1318,32.703580667,-117.232381333
1318,32.703598,-117.232357833
1448,32.703625333,-117.232332667
1579,32.7037455,-117.232223833
1579,32.703749,-117.232221
1708,32.703781,-117.232197833
1708,32.703786667,-117.232194
1708,32.703836,-117.232156167
1708,32.703839833,-117.232153
1708,32.703859667,-117.232137667
1838,32.703874667,-117.232124
1838,32.703879667,-117.23212
1838,32.7039145,-117.232094833
1838,32.703919833,-117.232090667
1838,32.703928667,-117.232083
1838,32.7039345,-117.232079
1838,32.7039405,-117.2320735
1838,32.703948333,-117.232068333
1969,32.704018667,-117.232024167
1969,32.7040275,-117.2320185
1969,32.7040425,-117.232008667
1969,32.7040485,-117.232005
1969,32.704052667,-117.232002667
2100,32.704090667,-117.2319795
2100,32.704097,-117.231974333
2100,32.704100333,-117.2319715
2100,32.704103333,-117.231968667
2100,32.704105667,-117.231965667
2100,32.704109833,-117.231959833
2100,32.704111667,-117.231956167
2100,32.7041145,-117.2319505
2100,32.704116667,-117.231937
2100,32.704117667,-117.2319305
2232,32.704118167,-117.231926
2232,32.7041155,-117.231923667
2232,32.704115667,-117.231919167
2232,32.704115667,-117.231914667
2232,32.704115,-117.231910167
2232,32.7041115,-117.231900333
2232,32.704110167,-117.231896
2232,32.7041025,-117.231880333
2232,32.704100167,-117.231876667
2232,32.704097667,-117.231873167
2232,32.704086833,-117.231864167
2232,32.704080167,-117.231859167
2232,32.704074667,-117.2318555
2232,32.704067,-117.231852
2232,32.704058667,-117.231849167
2360,32.704044,-117.231846167
2360,32.704034333,-117.231845667
2360,32.704005833,-117.231845
2360,32.703966167,-117.231849833
2360,32.703917667,-117.231859167
2490,32.703906333,-117.231862167
2618,32.703718333,-117.231905833
2618,32.7037095,-117.231907167
2618,32.703626167,-117.231924333
2746,32.703476833,-117.231931833
2874,32.703344,-117.231927167
2874,32.703336,-117.231925667
2874,32.703321,-117.231923833
3003,32.703234,-117.231900833
3003,32.7032285,-117.231899833
3003,32.703223,-117.2319
3003,32.703209,-117.231896333
3003,32.703200667,-117.231894
3003,32.703188667,-117.231892167
3003,32.703174333,-117.231887333
3130,32.703166,-117.231886167
3130,32.703157333,-117.2318835
3130,32.703142833,-117.231878833
3130,32.70314,-117.231877167
3130,32.703131333,-117.231874833
3130,32.703111333,-117.231871167
3130,32.7031025,-117.231869333
3130,32.703093667,-117.231867167
3130,32.703081667,-117.2318665
3130,32.703038167,-117.231863167
3254,32.703004667,-117.2318615
3254,32.702993,-117.231858333
3382,32.702846,-117.23185
3382,32.702823833,-117.231849167
3382,32.702752833,-117.231853333
3513,32.7026635,-117.231861667
3513,32.702634667,-117.231865333
3513,32.702626833,-117.231869
3513,32.7026205,-117.231875
3513,32.702613833,-117.23188
3513,32.7026095,-117.2318835
3513,32.7026015,-117.231892
